# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
109 16.594966 26.476792 35.871759 -12.997 29.894 74.540 5.000e+07 1
110 1.890493 15.991820 21.043392 180.341 131.474 -110.074 5.000e+07 1
111 1.987289 17.822365 20.304761 -29.408 61.985 -149.103 5.000e+07 1
112 2.770328 20.374199 21.492389 -180.389 -15.474 -59.248 5.000e+07 1
113 3.516165 16.083162 21.482425 126.961 171.550 29.304 5.000e+07 1
114 2.229642 16.072001 21.437855 -198.172 240.955 37.865 5.000e+07 1
115 4.383154 13.827315 21.873020 157.527 187.074 40.590 5.000e+07 1
116 1.107069 16.804021 21.210707 -44.264 -64.261 88.043 5.000e+07 1
117 2.228594 18.737776 22.719178 -57.314 38.748 -79.346 5.000e+07 1
118 2.869028 18.476761 21.799882 76.667 -120.353 6.075 5.000e+07 1
119 2.171157 17.828645 21.060535 -103.345 -276.298 51.370 5.000e+07 1
120 1.348166 17.231354 20.883948 82.381 -149.082 164.026 5.000e+07 1
121 0.271777 18.778225 16.979919 -44.939 0.764 -37.208 5.000e+07 1
122 13.840600 32.106223 12.645052 18.723 30.296 0.631 5.000e+07 1
123 -161.556477 -123.005418 -293.573459 22.935 18.663 61.408 5.000e+07 1
124 2.920497 17.769555 21.266398 68.291 -103.473 12.497 5.000e+07 1
125 2.825077 18.255909 21.513138 -144.882 -100.963 -98.593 5.000e+07 1
126 -1.984297 25.191189 21.635678 -253.463 72.720 43.126 5.000e+07 1
127 5.726453 24.129056 12.840282 41.061 99.734 -104.877 5.000e+07 1
128 5.649249 18.375138 21.533377 35.630 85.250 83.821 5.000e+07 1
129 3.719284 17.343678 19.826758 23.206 23.881 2.727 5.000e+07 1
130 1.152380 18.671328 21.044594 196.291 162.131 -24.491 5.000e+07 1
131 4.141453 17.539382 21.638572 152.957 246.147 132.115 5.000e+07 1
132 5.965411 19.859909 19.435589 -114.970 -20.936 -90.799 5.000e+07 1
133 2.978044 16.480138 21.569134 -101.219 -253.231 152.637 5.000e+07 1
134 3.368834 14.457602 22.210999 95.839 -104.528 118.466 5.000e+07 1
135 3.639344 15.746565 19.696140 68.138 -16.359 -32.994 5.000e+07 1
136 4.608483 20.462864 21.337264 -163.357 81.591 30.436 5.000e+07 1
137 4.310335 17.835402 25.021872 -61.938 103.003 63.746 5.000e+07 1
138 3.875298 19.268147 18.920553 -20.546 -200.192 93.426 5.000e+07 1
139 1.170716 15.861725 20.655540 86.319 -138.241 198.617 5.000e+07 1
140 2.676269 16.958317 20.200932 59.009 -135.167 -68.890 5.000e+07 1
141 3.866596 17.001934 21.259119 32.316 159.348 -39.454 5.000e+07 1
142 1.083673 16.400403 23.080354 -253.281 -101.669 112.494 5.000e+07 1
143 3.716171 19.446677 21.071662 263.436 171.077 -226.426 5.000e+07 1
144 3.634661 15.777579 22.092397 175.484 -55.223 -179.598 5.000e+07 1
145 5.292456 16.430253 19.697819 -145.151 182.994 85.370 5.000e+07 1
146 1.995179 19.612499 18.917658 -15.752 76.588 -57.414 5.000e+07 1
147 1.673460 17.002555 21.759801 -117.731 46.635 54.075 5.000e+07 1
148 5.676263 17.264255 21.216727 -60.397 115.684 55.545 5.000e+07 1
149 6.911366 20.192309 19.381805 -27.053 19.845 126.027 5.000e+07 1
150 2.629866 16.565467 20.632638 -39.774 112.873 130.664 5.000e+07 1
151 3.991810 11.129741 20.909944 60.779 -102.520 122.967 5.000e+07 1
152 6.602692 16.666361 20.316759 -30.666 88.052 24.448 5.000e+07 1
153 3.744293 16.141581 20.275727 258.935 -81.202 99.688 5.000e+07 1
154 0.054081 16.464162 22.423582 -14.372 -30.663 -100.262 5.000e+07 1
155 3.147640 15.466595 17.360109 -26.561 61.503 191.473 5.000e+07 1
156 14.287406 18.396791 24.844062 252.682 -10.549 100.867 5.000e+07 1
157 11.696696 17.711703 25.936520 101.032 23.007 26.929 5.000e+07 1
158 -4.877645 13.922021 21.694540 -134.927 -39.524 38.292 5.000e+07 1
159 2.677646 15.959672 19.258985 101.897 -171.807 -58.524 5.000e+07 1
160 -1.217467 14.246904 20.965849 209.622 -80.112 133.164 5.000e+07 1
161 4.185615 19.283131 20.905117 94.433 89.954 65.499 5.000e+07 1
